David KUSTOFF
Lee ZELDIN
Marco RUBIO
Daewoo Shipbuilding and Marine
DeWind Co.
Korea Development Bank
Pakistan International Airlines
China Academy of Space Technology
Michael Federmann
David Federmann
Robert Magnus
David Rogers
Black Water Investment Group
Academi LLC
Blackrock Inc.
VEB Leasing
Arteem Sergeievich Dovlatov
Veb RD
Veb Capital
Musah Ambani
Indian Petrochemicals Corp.
Reliance Industries Limited
Airbus
Iraj Ronaghi
Iran Aseman Airlines
Sara J. BLOOMFIELD
Juan M. de la CRUZ
Jose GUTIERREZ REYES
Manuel Antonio NORIEGA
Felicidad SIEIRO DE NORIEGA
Abu ABBAS
Shaykh Umar Abd AL RAHMAN
Dr. Ayman AL ZAWAHIRI
Abbud AL-ZUMAR
Abd Al Aziz AWDA
Shaykh Muhammad Husayn FADLALLAH
George HABBASH
Nayif HAWATMA
Mohammad Shawqi ISLAMBOULI
Ahmad JABRIL
Talal Muhammad Rashid NAJI
Hasan NASRALLAH
Subhi TUFAYLI
Sheik Ahmed Ismail YASSIN
Mousa Mohammed ABU MARZOOK
Helmer HERRERA BUITRAGO
Gilberto Jose RODRIGUEZ OREJUELA
Miguel Angel RODRIGUEZ OREJUELA
Jose SANTACRUZ LONDONO
Leonardo CAVIEDES CRUZ
Ramadan ABDALLAH
Salustio AMEZQUITA MENESES
Jose Francisco ANGULO OROBIO (SEGUNDO)
Julio Cesar ARBOLEDA ROMERO
Luz Mery BUITRAGO DE HERRERA
Adiela BUITRAGO MARIN
Nubia BUITRAGO MARIN
Oliverio ABRIL CORTEZ
Juan Carlos CUARTES MORALES
Walter ESCOBAR BUITRAGO
Gilmer Antonio GALINDO
Diana Paola GALINDO HERRERA
Diego Alexander GALINDO HERRERA
Octavio GIRALDO SARRIA
Olmes de Jesus GOMEZ BERRIO
Hector Fabio HERNANDEZ CANOBAS
Alvaro HERRERA BUITRAGO
Stella HERRERA BUITRAGO
Raul Alberto IBANEZ LOPEZ
Juan Carlos LARRANAGA CALVACHE
Orlando LIBREROS DIEZ
Edgar LINDO HURTADO
Ricardo Jose LINARES REYES
Vicente de Jesus LOPERA LONDONO
Francisco Jose MONROY ARCILA
Juan Carlos MOSQUERA
Adriana del Socorro MUNOZ PAZ
Joaquin Emilio MUNOZ PAZ
Lisimaco QUINTERO SALAZAR
Delia Nhora RAMIREZ CORTES
William RAMIREZ VALENCIANO
Jorge Luis RIZO MORENO
Jesus Maria SAAVEDRA RESTREPO
Nhora Clemencia SALCEDO RAMIREZ
Jose Abelardo URIBE GONZALEZ
Jhon Gavy VALENCIA ARIAS
Luis Fernando VALENCIA ARIAS
Reynel VALENCIA
Maria Deisy VILLEGAS ARIAS
Cesar Augusto ACERO PIEDRAHITA
Phanor ARIZABALETA ARZAYUS
Aracelly BANDERAS
Alvaro BECERRA BECERRA
Maria Leonor CASTRILLON CRUZ
Hector Fabio CHAVARRO
Ernesto CORREA PULGARIN
Otalvaro CUERO MARTINEZ
Rafael Alberto CULZAT LUGSIR
Manuel DIAZ
Rosa Isabel DIAZ
Dacier FIGUEROA DE BRUSATIN
Audra Yamile GARCIA ROMERO
Freddy GARCIA
Maria Nohelio HENAO HINESTROZA
William HERRERA BUITRAGO
Maria del Carmen LONDONO DE UPEGUI
Cecilia LOPEZ RODRIGUEZ
Hernan de Jesus LOPEZ ZAPATA
Carlos Arturo MORENO
Jose Tolentino MURILLO MURILLO
Octavio PATINO RINCON
Publio Eliecer PEREZ ORTEGA
Wilmar Armando PEREZ SERNA
Gustavo Adolfo PIEDRAHITA GIRALDO
Maria del Carmen POSSO DE LONDONO
Placido RAMIREZ BUITRAGO
Heriberto RAMOS RAYO
Edgar REYES MURCIA
Miguel Antonio ROZO CLAVIJO
Manuel Salvador SEPULVEDA SEPULVEDA
Maria Norby SERNA
Maria Diocelina VALENCIA DE JARAMILLO
Manuel VALENCIA FRANCO
Gustavo Adolfo VARGAS LOPEZ
Maria Concepcion ZAMBRANO CERON
Jose Hernan ZAMORA
Carlos Obeymar MAFLA
Diego VALDIVIESO FONTAL
Julio Cesar NASSER DAVID
Carlos Alberto NASSER ARANA
Claudia Patricia NASSER ARANA
Jorge NASSER ARANA
Usama bin Muhammad bin Awad BIN LADIN
Abu Hafs AL-MASRI
Rifa'i Ahmad Taha MUSA
Ivan URDINOLA GRAJALES
Mohammed OMAR
Julio Fabio URDINOLA GRAJALES
Lorena HENAO MONTOYA
Jose de Jesus AMEZCUA CONTRERAS
Luis Ignacio AMEZCUA CONTRERAS
Ramon Eduardo ARELLANO FELIX
Rafael CARO QUINTERO
Vicente CARRILLO FUENTES
Chi Fu CHANG
Noel Timothy HEATH
Oluwole A. OGUNGBUYI
Abeni O. OGUNGBUYI
Hsueh Kang WEI
Benjamin Alberto ARELLANO FELIX
Arcangel de Jesus HENAO MONTOYA
Juan Carlos RAMIREZ ABADIA
Olga Patricia GONZALEZ BENITEZ
Victor Julio PATINO FOMEQUE
Luis Alfonso BUENDIA CUELLAR
Jorge Alirio DUQUE BOTERO
Hernando ECHEVERRY HERRERA
